#      3
z den(A) den(B)
  1.0000 114.5000 219.5000
  2.0000 105.5000 232.5000
  3.0000 102.0000 208.0000
  4.0000 115.5000 231.0000
  5.0000 106.0000 233.0000
  6.0000 110.0000 220.5000
  7.0000 110.5000 219.5000
  8.0000 119.5000 211.0000
  9.0000 108.0000 232.5000
 10.0000 119.0000 225.0000
 11.0000 105.5000 219.5000
 12.0000 105.0000 226.5000
 13.0000 108.0000 220.5000
 14.0000 102.5000 237.5000
 15.0000 111.5000 220.0000
 16.0000 115.5000 224.0000
 17.0000 103.0000 228.0000
 18.0000 112.0000 214.0000
 19.0000 113.0000 227.5000
 20.0000 109.0000 232.0000
 21.0000 110.5000 221.0000
 22.0000 108.0000 220.5000
 23.0000 107.5000 233.5000
 24.0000 106.0000 221.0000
 25.0000 106.0000 216.0000
 26.0000 124.0000 219.0000
 27.0000 108.0000 232.0000
 28.0000 112.0000 228.0000
 29.0000 113.5000 212.5000
 30.0000 105.0000 221.0000
 31.0000 113.0000 226.5000
 32.0000 117.5000 215.5000
 33.0000 108.5000 212.5000
 34.0000 110.5000 228.0000
 35.0000 120.0000 226.0000
 36.0000 108.0000 208.5000
 37.0000 108.0000 234.5000
 38.0000  98.5000 228.5000
 39.0000 121.0000 216.0000
 40.0000 108.5000 228.5000
 41.0000  90.5000 235.5000
 42.0000 118.0000 224.5000
 43.0000 100.5000 226.0000
 44.0000  96.5000 231.5000
 45.0000 106.5000 234.5000
 46.0000 107.0000 234.0000
 47.0000 100.5000 237.5000
 48.0000 104.5000 224.5000
 49.0000 102.5000 232.5000
 50.0000  99.0000 219.0000
 51.0000 102.0000 235.5000
 52.0000 105.5000 232.0000
 53.0000 106.0000 232.0000
 54.0000  95.5000 234.5000
 55.0000 105.0000 230.5000
 56.0000 106.0000 232.0000
 57.0000 104.0000 234.5000
 58.0000 102.5000 222.5000
 59.0000 110.0000 233.0000
 60.0000 102.5000 219.5000
 61.0000 109.0000 223.0000
 62.0000 102.5000 230.0000
 63.0000 109.5000 235.0000
 64.0000 108.0000 224.5000
 65.0000 106.5000 223.0000
 66.0000 115.0000 223.5000
 67.0000 102.5000 222.5000
 68.0000 112.5000 221.5000
 69.0000  97.0000 228.5000
 70.0000 111.0000 237.5000
 71.0000 108.5000 224.5000
 72.0000  91.0000 232.0000
 73.0000 106.5000 233.5000
 74.0000 105.5000 223.0000
 75.0000 109.0000 228.5000
 76.0000  95.0000 225.5000
 77.0000 110.0000 226.5000
 78.0000  98.5000 240.5000
 79.0000 110.5000 212.5000
 80.0000 106.5000 231.0000
 81.0000 112.0000 221.5000
 82.0000 120.0000 214.0000
 83.0000 112.5000 217.5000
 84.0000 114.5000 222.5000
 85.0000 102.0000 220.0000
 86.0000 124.0000 223.0000
 87.0000 119.0000 216.5000
 88.0000 100.5000 219.0000
 89.0000 126.5000 221.0000
 90.0000 108.0000 222.0000
 91.0000 113.0000 216.5000
 92.0000 121.5000 218.0000
 93.0000 113.5000 218.0000
 94.0000 116.5000 217.0000
 95.0000  98.5000 232.0000
 96.0000 108.5000 223.0000
 97.0000 108.5000 225.0000
 98.0000 108.0000 225.0000
 99.0000  96.5000 224.0000
100.0000 118.0000 229.5000
101.0000 112.0000 229.5000
102.0000  97.0000 217.0000
103.0000 118.5000 234.0000
104.0000 105.0000 213.5000
105.0000 110.5000 236.5000
106.0000  98.0000 230.0000
107.0000  97.5000 231.5000
108.0000 105.5000 219.5000
109.0000 108.0000 239.5000
110.0000 102.0000 224.5000
111.0000 100.0000 217.5000
112.0000 105.5000 243.5000
113.0000 109.0000 222.0000
114.0000 113.5000 212.5000
115.0000 122.5000 231.0000
116.0000  98.5000 214.5000
117.0000 119.0000 217.0000
118.0000 115.0000 215.5000
119.0000 114.0000 234.0000
120.0000 119.0000 209.0000
