#     10
z den(A) den(B)
  1.0000   0.2222 341.6667
  2.0000   0.2222 242.8889
  3.0000   0.2222 279.5555
  4.0000   0.3333 305.5555
  5.0000   0.3333 320.0000
  6.0000   0.3333 314.3333
  7.0000   0.3333 321.8889
  8.0000   0.5556 317.4445
  9.0000   0.1111 329.0000
 10.0000   0.2222 324.0000
 11.0000   0.4444 323.0000
 12.0000   0.7778 317.0000
 13.0000   0.4444 316.4445
 14.0000   0.2222 317.1111
 15.0000   0.4444 320.3333
 16.0000   0.2222 321.7778
 17.0000   0.2222 321.8889
 18.0000   0.5556 326.6667
 19.0000   0.8889 323.1111
 20.0000   1.3333 322.5555
 21.0000   0.5556 328.0000
 22.0000   1.1111 322.7778
 23.0000   1.0000 321.3333
 24.0000   1.1111 319.3333
 25.0000   1.0000 314.1111
 26.0000   1.4444 312.3333
 27.0000   0.7778 317.4445
 28.0000   1.4444 314.6667
 29.0000   0.6667 323.4445
 30.0000   2.2222 318.5555
 31.0000   2.2222 312.6667
 32.0000   2.0000 312.1111
 33.0000   1.2222 316.5555
 34.0000   2.5556 322.4445
 35.0000   2.7778 325.0000
 36.0000   3.3333 314.0000
 37.0000   3.3333 322.4445
 38.0000   4.1111 319.1111
 39.0000   4.1111 316.1111
 40.0000   5.3333 306.1111
 41.0000   4.7778 313.5555
 42.0000   5.1111 311.0000
 43.0000   6.5556 317.4445
 44.0000   8.4444 318.8889
 45.0000   7.0000 304.5555
 46.0000   8.5556 310.7778
 47.0000   8.5556 312.3333
 48.0000   9.6667 303.6667
 49.0000  11.3333 301.5555
 50.0000  13.8889 304.7778
 51.0000  17.1111 303.0000
 52.0000  15.0000 307.1111
 53.0000  16.6667 303.0000
 54.0000  17.7778 294.6667
 55.0000  17.1111 304.1111
 56.0000  19.8889 297.6667
 57.0000  21.3333 299.7778
 58.0000  24.3333 293.0000
 59.0000  25.6667 285.1111
 60.0000  28.4444 295.4445
 61.0000  32.1111 294.7778
 62.0000  32.8889 275.1111
 63.0000  33.3333 276.4445
 64.0000  40.0000 274.2222
 65.0000  39.7778 267.3333
 66.0000  47.3333 275.7778
 67.0000  51.1111 267.4445
 68.0000  48.5556 258.2222
 69.0000  54.4444 252.8889
 70.0000  59.1111 251.1111
 71.0000  68.2222 251.7778
 72.0000  69.1111 250.1111
 73.0000  72.4444 227.6667
 74.0000  78.2222 233.5556
 75.0000  81.4444 224.3333
 76.0000  81.7778 227.8889
 77.0000  91.1111 214.0000
 78.0000  96.5556 210.3333
 79.0000 107.5556 202.5556
 80.0000 117.4444 191.1111
 81.0000 118.1111 188.3333
 82.0000 125.4444 185.0000
 83.0000 132.3333 169.7778
 84.0000 131.7778 165.0000
 85.0000 142.1111 157.3333
 86.0000 139.5556 150.8889
 87.0000 159.6667 145.3333
 88.0000 164.7778 135.5556
 89.0000 168.3333 124.0000
 90.0000 181.2222 123.3333
 91.0000 200.0000 116.0000
 92.0000 190.0000 110.2222
 93.0000 198.3333 105.1111
 94.0000 207.6667  95.0000
 95.0000 200.4444  84.4444
 96.0000 214.8889  79.2222
 97.0000 217.1111  73.1111
 98.0000 226.6667  68.3333
 99.0000 229.2222  60.3333
100.0000 240.5556  51.1111
101.0000 248.1111  49.8889
102.0000 248.6667  45.2222
103.0000 263.0000  39.8889
104.0000 261.4445  34.3333
105.0000 274.4445  29.6667
106.0000 269.4445  27.6667
107.0000 269.2222  22.2222
108.0000 270.1111  17.1111
109.0000 277.5555  13.8889
110.0000 281.8889  10.7778
111.0000 284.2222  14.1111
112.0000 287.2222  18.5556
113.0000 296.3333  25.2222
114.0000 291.2222  34.6667
115.0000 295.8889  43.2222
116.0000 303.6667  55.1111
117.0000 295.1111  62.4444
118.0000 210.2222  72.4444
119.0000 104.3333  84.0000
120.0000  48.0000 109.7778
